climate_division,division,state,value
CENTRAL_MS,CENTRAL,MS,1.921515819
CENTRAL_MT,CENTRAL,MT,-0.030077397
CENTRAL_ND,CENTRAL,ND,0.75740235
CENTRAL_NE,CENTRAL,NE,0.964933454
CENTRAL_OH,CENTRAL,OH,1.374898839
CENTRAL_OK,CENTRAL,OK,1.394845661
CENTRAL_SC,CENTRAL,SC,0.691637716
CENTRAL_SD,CENTRAL,SD,1.073007176
CENTRAL_WI,CENTRAL,WI,1.318629427
CENTRAL_WV,CENTRAL,WV,1.337463694
CHAMPLAIN VALLEY_NY,CHAMPLAIN VALLEY,NY,1.607146181
CHEYENNE & NIOBRARA DRAINAGE_WY,CHEYENNE & NIOBRARA DRAINAGE,WY,-0.264681863
COASTAL AREA_OR,COASTAL AREA,OR,-0.187613333
COASTAL PLAIN_AL,COASTAL PLAIN,AL,1.309334726
COASTAL_CT,COASTAL,CT,0.976170615
COASTAL_MA,COASTAL,MA,1.800823873
COASTAL_ME,COASTAL,ME,1.904719959
COASTAL_MS,COASTAL,MS,1.428437114
COASTAL_NJ,COASTAL,NJ,-0.066200285
COASTAL_NY,COASTAL,NY,-0.173993149
COLORADO DRAINAGE BASIN_CO,COLORADO DRAINAGE BASIN,CO,-0.545457612
CUMBERLAND PLATEAU_TN,CUMBERLAND PLATEAU,TN,1.641186519
DIXIE_UT,DIXIE,UT,-1.803769036
E OLYMPIC CASCADE FOOTHILLS_WA,E OLYMPIC CASCADE FOOTHILLS,WA,0.383229639
EAST CENTRAL LOWER_MI,EAST CENTRAL LOWER,MI,1.858406815
EAST CENTRAL MOUNTAINS_PA,EAST CENTRAL MOUNTAINS,PA,1.323133178
EAST CENTRAL_AR,EAST CENTRAL,AR,1.014220323
EAST CENTRAL_AZ,EAST CENTRAL,AZ,-1.060711638
EAST CENTRAL_GA,EAST CENTRAL,GA,0.271222936
EAST CENTRAL_IA,EAST CENTRAL,IA,1.753485395
EAST CENTRAL_IN,EAST CENTRAL,IN,1.606164757
EAST CENTRAL_KS,EAST CENTRAL,KS,1.148591687
EAST CENTRAL_LA,EAST CENTRAL,LA,1.234235544
EAST CENTRAL_MN,EAST CENTRAL,MN,1.544608661
EAST CENTRAL_MS,EAST CENTRAL,MS,1.906981045
EAST CENTRAL_ND,EAST CENTRAL,ND,0.619080336
EAST CENTRAL_NE,EAST CENTRAL,NE,0.799141733
EAST CENTRAL_OH,EAST CENTRAL,OH,1.221166168
EAST CENTRAL_OK,EAST CENTRAL,OK,1.429293336
EAST CENTRAL_SD,EAST CENTRAL,SD,0.864069714
EAST CENTRAL_WI,EAST CENTRAL,WI,1.213225155
EAST OZARKS_MO,EAST OZARKS,MO,1.335781917
EAST SLOPE CASCADES_WA,EAST SLOPE CASCADES,WA,0.152067162
EAST SOUTHEAST_IL,EAST SOUTHEAST,IL,1.789000186
EAST TEXAS_TX,EAST TEXAS,TX,1.522211026
EAST UPPER_MI,EAST UPPER,MI,1.420675979
EAST_IL,EAST,IL,1.65183629
EASTERN HIGHLANDS_ID,EASTERN HIGHLANDS,ID,0.741896822
EASTERN PIEDMONT_VA,EASTERN PIEDMONT,VA,0.894098435
EASTERN PLATEAU_NY,EASTERN PLATEAU,NY,1.556719494
EASTERN VALLEY_AL,EASTERN VALLEY,AL,1.260715598
EASTERN_KY,EASTERN,KY,1.332925736
EASTERN_TN,EASTERN,TN,0.945495629
EDWARDS PLATEAU_TX,EDWARDS PLATEAU,TX,0.289615205
EVERGLADES_FL,EVERGLADES,FL,-0.839302739
EXTREME SOUTHERN_NV,EXTREME SOUTHERN,NV,-2.505821896
GREAT LAKES_NY,GREAT LAKES,NY,1.853081688
GREEN AND BEAR DRAINAGE_WY,GREEN AND BEAR DRAINAGE,WY,-0.840212104
GULF_AL,GULF,AL,1.014216662
HIGH PLAINS_TX,HIGH PLAINS,TX,-0.245765844
HIGH PLATEAU_OR,HIGH PLATEAU,OR,0.071646604
HUDSON VALLEY_NY,HUDSON VALLEY,NY,1.152020709
KANSAS DRAINAGE BASIN_CO,KANSAS DRAINAGE BASIN,CO,-0.002796924
KEYS_FL,KEYS,FL,-1.61292017
LOW ROLLING PLAINS_TX,LOW ROLLING PLAINS,TX,0.298216766
LOWER DELTA_MS,LOWER DELTA,MS,1.623592526
LOWER EAST COAST_FL,LOWER EAST COAST,FL,-0.51125936
LOWER PLATTE_WY,LOWER PLATTE,WY,-0.350958446
LOWER SOUTHERN_MD,LOWER SOUTHERN,MD,1.069037514
LOWER SUSQUEHANNA_PA,LOWER SUSQUEHANNA,PA,1.178899591
LOWER VALLEY_TX,LOWER VALLEY,TX,0.354828635
MIDDLE SUSQUEHANNA_PA,MIDDLE SUSQUEHANNA,PA,1.207281219
MIDDLE_TN,MIDDLE,TN,1.845331849
MOHAWK VALLEY_NY,MOHAWK VALLEY,NY,1.619437887
MOUNTAIN_SC,MOUNTAIN,SC,0.449429288
NE OLYMPIC SAN JUAN_WA,NE OLYMPIC SAN JUAN,WA,-0.399353284
NORTH CENTRAL CANYONS_ID,NORTH CENTRAL CANYONS,ID,-0.494403152
NORTH CENTRAL PRAIRIES_ID,NORTH CENTRAL PRAIRIES,ID,0.152395685
NORTH CENTRAL_AR,NORTH CENTRAL,AR,1.36872442
NORTH CENTRAL_AZ,NORTH CENTRAL,AZ,-1.28426684
NORTH CENTRAL_FL,NORTH CENTRAL,FL,0.150146269
NORTH CENTRAL_GA,NORTH CENTRAL,GA,0.528647078
NORTH CENTRAL_IA,NORTH CENTRAL,IA,1.591710417
NORTH CENTRAL_IN,NORTH CENTRAL,IN,1.695591791
NORTH CENTRAL_KS,NORTH CENTRAL,KS,1.213359614
NORTH CENTRAL_LA,NORTH CENTRAL,LA,1.738709721
NORTH CENTRAL_MN,NORTH CENTRAL,MN,1.071383415
NORTH CENTRAL_MS,NORTH CENTRAL,MS,2.114179795
NORTH CENTRAL_MT,NORTH CENTRAL,MT,-0.735186171
NORTH CENTRAL_ND,NORTH CENTRAL,ND,0.861422634
NORTH CENTRAL_NE,NORTH CENTRAL,NE,0.971043878
NORTH CENTRAL_OH,NORTH CENTRAL,OH,1.361957749
NORTH CENTRAL_OK,NORTH CENTRAL,OK,1.007315984
NORTH CENTRAL_OR,NORTH CENTRAL,OR,-0.269553854
NORTH CENTRAL_SC,NORTH CENTRAL,SC,-0.151225315
NORTH CENTRAL_SD,NORTH CENTRAL,SD,0.795751376
NORTH CENTRAL_TX,NORTH CENTRAL,TX,1.300313712
NORTH CENTRAL_UT,NORTH CENTRAL,UT,-0.131686483
NORTH CENTRAL_WI,NORTH CENTRAL,WI,1.048035538
NORTH CENTRAL_WV,NORTH CENTRAL,WV,1.54866138
NORTH COAST DRAINAGE_CA,NORTH COAST DRAINAGE,CA,-0.478356875
NORTH_FL,NORTH,FL,0.837702734
NORTHEAST HILLS_OH,NORTHEAST HILLS,OH,0.868336708
NORTHEAST INTER. BASINS_CA,NORTHEAST INTER. BASINS,CA,-0.637688699
NORTHEAST LOWER_MI,NORTHEAST LOWER,MI,1.891713249
NORTHEAST PRAIRIE_MO,NORTHEAST PRAIRIE,MO,1.374934071
NORTHEAST_AR,NORTHEAST,AR,1.188311373
NORTHEAST_AZ,NORTHEAST,AZ,-1.614949762
NORTHEAST_GA,NORTHEAST,GA,0.165325403
NORTHEAST_IA,NORTHEAST,IA,1.864481435
NORTHEAST_IL,NORTHEAST,IL,1.881851789
NORTHEAST_IN,NORTHEAST,IN,1.552211692
NORTHEAST_KS,NORTHEAST,KS,1.104752222
NORTHEAST_LA,NORTHEAST,LA,1.611741447
NORTHEAST_MN,NORTHEAST,MN,1.504403919
NORTHEAST_MS,NORTHEAST,MS,2.090703386
NORTHEAST_ND,NORTHEAST,ND,0.92218751
NORTHEAST_NE,NORTHEAST,NE,0.781791118
NORTHEAST_OH,NORTHEAST,OH,1.690660169
NORTHEAST_OK,NORTHEAST,OK,1.19316706
NORTHEAST_OR,NORTHEAST,OR,0.25104895
NORTHEAST_SC,NORTHEAST,SC,0.807589301
NORTHEAST_SD,NORTHEAST,SD,0.540751844
NORTHEAST_WI,NORTHEAST,WI,1.158760552
NORTHEASTERN PLAINS_NM,NORTHEASTERN PLAINS,NM,-0.437555756
NORTHEASTERN SHORE_MD,NORTHEASTERN SHORE,MD,1.013790955
NORTHEASTERN VALLEYS_ID,NORTHEASTERN VALLEYS,ID,0.089842763
NORTHEASTERN_MT,NORTHEASTERN,MT,-0.307406485
NORTHEASTERN_NV,NORTHEASTERN,NV,-0.025174212
NORTHEASTERN_VT,NORTHEASTERN,VT,2.222865116
NORTHEASTERN_WA,NORTHEASTERN,WA,0.092301271
NORTHEASTERN_WV,NORTHEASTERN,WV,1.038223165
NORTHERN CASCADES_OR,NORTHERN CASCADES,OR,0.196632161
NORTHERN CENTRAL_MD,NORTHERN CENTRAL,MD,1.027938423
NORTHERN COASTAL PLAIN_NC,NORTHERN COASTAL PLAIN,NC,0.498698843
NORTHERN MOUNTAINS_NC,NORTHERN MOUNTAINS,NC,0.27848492
NORTHERN MOUNTAINS_NM,NORTHERN MOUNTAINS,NM,-0.821661203
NORTHERN MOUNTAINS_UT,NORTHERN MOUNTAINS,UT,-0.21717844
NORTHERN PIEDMONT_NC,NORTHERN PIEDMONT,NC,0.64347677
NORTHERN PLATEAU_NY,NORTHERN PLATEAU,NY,1.715875568
NORTHERN VALLEY_AL,NORTHERN VALLEY,AL,1.892575395
NORTHERN_DE,NORTHERN,DE,1.428154196
NORTHERN_ME,NORTHERN,ME,1.926158696
NORTHERN_NH,NORTHERN,NH,2.345570233
NORTHERN_NJ,NORTHERN,NJ,0.867756667
NORTHERN_VA,NORTHERN,VA,1.400331756
NORTHWEST PLATEAU_PA,NORTHWEST PLATEAU,PA,1.741554723
NORTHWEST PRAIRIE_MO,NORTHWEST PRAIRIE,MO,1.416119586
NORTHWEST_AR,NORTHWEST,AR,1.329250274
NORTHWEST_AZ,NORTHWEST,AZ,-1.839091294
NORTHWEST_CT,NORTHWEST,CT,1.137498017
NORTHWEST_FL,NORTHWEST,FL,1.248566082
NORTHWEST_GA,NORTHWEST,GA,0.943771736
NORTHWEST_IA,NORTHWEST,IA,0.881802305
NORTHWEST_IL,NORTHWEST,IL,1.811627302
NORTHWEST_IN,NORTHWEST,IN,1.994624845
NORTHWEST_KS,NORTHWEST,KS,0.707179744
NORTHWEST_LA,NORTHWEST,LA,1.602023671
NORTHWEST_MI,NORTHWEST,MI,2.159201331
NORTHWEST_MN,NORTHWEST,MN,0.950922693
NORTHWEST_ND,NORTHWEST,ND,0.50808647
NORTHWEST_OH,NORTHWEST,OH,1.384697762
NORTHWEST_SC,NORTHWEST,SC,-0.333606816
NORTHWEST_SD,NORTHWEST,SD,0.817480153
NORTHWEST_WI,NORTHWEST,WI,1.395193675
NORTHWESTERN PLATEAU_NM,NORTHWESTERN PLATEAU,NM,-1.67912229
NORTHWESTERN_NV,NORTHWESTERN,NV,-0.917392185
NORTHWESTERN_WV,NORTHWESTERN,WV,1.435666057
OKANOGAN BIG BEND_WA,OKANOGAN BIG BEND,WA,-0.309221995
PALOUSE BLUE MOUNTAINS_WA,PALOUSE BLUE MOUNTAINS,WA,-0.436166948
PANHANDLE_ID,PANHANDLE,ID,0.329569685
PANHANDLE_NE,PANHANDLE,NE,-0.023379257
PANHANDLE_OK,PANHANDLE,OK,0.127765038
PIEDMONT PLATEAU_AL,PIEDMONT PLATEAU,AL,1.226720632
PLATTE DRAINAGE BASIN_CO,PLATTE DRAINAGE BASIN,CO,-0.115564654
POCONO MOUNTAINS_PA,POCONO MOUNTAINS,PA,1.261659018
"POWDER, LITTLE MISSOURI, TONGU_WY","POWDER, LITTLE MISSOURI, TONGU",WY,0.027292516
PRAIRIE_AL,PRAIRIE,AL,1.634738291
PUGET SOUND LOWLANDS_WA,PUGET SOUND LOWLANDS,WA,0.177979384
RIO GRANDE DRAINAGE BASIN_CO,RIO GRANDE DRAINAGE BASIN,CO,-1.017514952
SACRAMENTO DRNG._CA,SACRAMENTO DRNG.,CA,-0.433032105
SAN JOAQUIN DRNG._CA,SAN JOAQUIN DRNG.,CA,-0.948885464
SNAKE DRAINAGE_WY,SNAKE DRAINAGE,WY,1.643643811
SOUTH CENTRAL LOWER_MI,SOUTH CENTRAL LOWER,MI,1.782428633
SOUTH CENTRAL MOUNTAINS_PA,SOUTH CENTRAL MOUNTAINS,PA,1.072167051
SOUTH CENTRAL_AR,SOUTH CENTRAL,AR,1.930699416
SOUTH CENTRAL_AZ,SOUTH CENTRAL,AZ,-2.434116957
SOUTH CENTRAL_FL,SOUTH CENTRAL,FL,-0.679625687
SOUTH CENTRAL_GA,SOUTH CENTRAL,GA,0.324770954
SOUTH CENTRAL_IA,SOUTH CENTRAL,IA,1.348693998
SOUTH CENTRAL_IN,SOUTH CENTRAL,IN,2.01162118
SOUTH CENTRAL_KS,SOUTH CENTRAL,KS,1.234997988
SOUTH CENTRAL_LA,SOUTH CENTRAL,LA,1.553613345
SOUTH CENTRAL_MN,SOUTH CENTRAL,MN,1.596015268
SOUTH CENTRAL_MS,SOUTH CENTRAL,MS,1.484102496
SOUTH CENTRAL_MT,SOUTH CENTRAL,MT,0.690852574
SOUTH CENTRAL_ND,SOUTH CENTRAL,ND,0.947883688
SOUTH CENTRAL_NE,SOUTH CENTRAL,NE,1.186334371
SOUTH CENTRAL_NV,SOUTH CENTRAL,NV,-1.323478512
SOUTH CENTRAL_OH,SOUTH CENTRAL,OH,1.667946246
SOUTH CENTRAL_OK,SOUTH CENTRAL,OK,1.331987776
SOUTH CENTRAL_OR,SOUTH CENTRAL,OR,-0.459584965
SOUTH CENTRAL_SD,SOUTH CENTRAL,SD,1.130181607
SOUTH CENTRAL_TX,SOUTH CENTRAL,TX,0.911473392
SOUTH CENTRAL_UT,SOUTH CENTRAL,UT,-0.818412372
SOUTH CENTRAL_WI,SOUTH CENTRAL,WI,1.691760324
SOUTH COAST DRNG._CA,SOUTH COAST DRNG.,CA,-1.574920584
SOUTHEAST DESERT BASIN_CA,SOUTHEAST DESERT BASIN,CA,-2.442792891
SOUTHEAST LOWER_MI,SOUTHEAST LOWER,MI,1.570722514
SOUTHEAST_AR,SOUTHEAST,AR,1.319907413
SOUTHEAST_AZ,SOUTHEAST,AZ,-1.388591852
SOUTHEAST_GA,SOUTHEAST,GA,0.184689124
SOUTHEAST_IA,SOUTHEAST,IA,1.353575671
SOUTHEAST_IL,SOUTHEAST,IL,1.921875721
SOUTHEAST_IN,SOUTHEAST,IN,2.133653467
SOUTHEAST_KS,SOUTHEAST,KS,1.408453313
SOUTHEAST_LA,SOUTHEAST,LA,1.082362493
SOUTHEAST_MN,SOUTHEAST,MN,1.833678443
SOUTHEAST_MS,SOUTHEAST,MS,1.427409198
SOUTHEAST_ND,SOUTHEAST,ND,0.486344029
SOUTHEAST_NE,SOUTHEAST,NE,0.835667413
SOUTHEAST_OH,SOUTHEAST,OH,1.457110175
SOUTHEAST_OK,SOUTHEAST,OK,1.720042215
SOUTHEAST_OR,SOUTHEAST,OR,-0.493643922
SOUTHEAST_SD,SOUTHEAST,SD,0.853203493
SOUTHEAST_UT,SOUTHEAST,UT,-1.838224064
SOUTHEAST_WI,SOUTHEAST,WI,1.678558088
SOUTHEASTERN PIEDMONT_PA,SOUTHEASTERN PIEDMONT,PA,1.252818197
SOUTHEASTERN PLAINS_NM,SOUTHEASTERN PLAINS,NM,-0.801188182
SOUTHEASTERN SHORE_MD,SOUTHEASTERN SHORE,MD,0.636800752
SOUTHEASTERN_MT,SOUTHEASTERN,MT,0.150486739
SOUTHEASTERN_VT,SOUTHEASTERN,VT,1.961936104
SOUTHERN COASTAL PLAIN_NC,SOUTHERN COASTAL PLAIN,NC,0.656813012
SOUTHERN DESERT_NM,SOUTHERN DESERT,NM,-0.611583885
SOUTHERN INTERIOR_ME,SOUTHERN INTERIOR,ME,1.873515377
SOUTHERN MOUNTAINS_NC,SOUTHERN MOUNTAINS,NC,0.315850807
SOUTHERN PIEDMONT_NC,SOUTHERN PIEDMONT,NC,-0.039261174
SOUTHERN_DE,SOUTHERN,DE,0.50515051
SOUTHERN_NH,SOUTHERN,NH,1.870532469
SOUTHERN_NJ,SOUTHERN,NJ,0.722209745
SOUTHERN_SC,SOUTHERN,SC,0.702146966
SOUTHERN_TX,SOUTHERN,TX,0.150806743
SOUTHERN_WV,SOUTHERN,WV,0.474669599
SOUTHWEST LOWER_MI,SOUTHWEST LOWER,MI,2.260075325
SOUTHWEST PLATEAU_PA,SOUTHWEST PLATEAU,PA,1.341453537
SOUTHWEST_AR,SOUTHWEST,AR,1.98500411
SOUTHWEST_AZ,SOUTHWEST,AZ,-2.592166504
SOUTHWEST_GA,SOUTHWEST,GA,0.536915264
SOUTHWEST_IA,SOUTHWEST,IA,1.432991044
SOUTHWEST_IL,SOUTHWEST,IL,1.76242739
SOUTHWEST_IN,SOUTHWEST,IN,2.089040732
SOUTHWEST_KS,SOUTHWEST,KS,0.543183271
SOUTHWEST_LA,SOUTHWEST,LA,1.591003636
SOUTHWEST_MN,SOUTHWEST,MN,1.256952359
SOUTHWEST_MS,SOUTHWEST,MS,1.573072202
SOUTHWEST_ND,SOUTHWEST,ND,0.482720296
SOUTHWEST_NE,SOUTHWEST,NE,0.533882369
SOUTHWEST_OH,SOUTHWEST,OH,1.598010792
SOUTHWEST_OK,SOUTHWEST,OK,0.469784017
SOUTHWEST_SD,SOUTHWEST,SD,0.563894214
SOUTHWEST_WI,SOUTHWEST,WI,1.720980603
SOUTHWESTERN HIGHLANDS_ID,SOUTHWESTERN HIGHLANDS,ID,-0.187845555
SOUTHWESTERN MOUNTAIN_VA,SOUTHWESTERN MOUNTAIN,VA,0.495321903
SOUTHWESTERN MOUNTAINS_NM,SOUTHWESTERN MOUNTAINS,NM,-0.973269089
SOUTHWESTERN VALLEYS_ID,SOUTHWESTERN VALLEYS,ID,-0.44034453
SOUTHWESTERN VALLEYS_OR,SOUTHWESTERN VALLEYS,OR,-0.270516079
SOUTHWESTERN_MT,SOUTHWESTERN,MT,0.485652037
SOUTHWESTERN_WV,SOUTHWESTERN,WV,1.632506125
ST. LAWRENCE VALLEY_NY,ST. LAWRENCE VALLEY,NY,2.118994212
TIDEWATER_VA,TIDEWATER,VA,0.717543755
TRANS PECOS_TX,TRANS PECOS,TX,-0.684274673
UINTA BASIN_UT,UINTA BASIN,UT,-1.457547257
UPPER COAST_TX,UPPER COAST,TX,1.336659419
UPPER DELTA_MS,UPPER DELTA,MS,1.526611137
UPPER PLAINS_AL,UPPER PLAINS,AL,1.787233126
UPPER PLATTE_WY,UPPER PLATTE,WY,-0.657658749
UPPER SNAKE RIVER PLAINS_ID,UPPER SNAKE RIVER PLAINS,ID,-0.625676687
UPPER SOUTHERN_MD,UPPER SOUTHERN,MD,0.865971986
UPPER SUSQUEHANNA_PA,UPPER SUSQUEHANNA,PA,1.498167021
WEST CENTRAL LOWER_MI,WEST CENTRAL LOWER,MI,2.582431282
WEST CENTRAL PLAINS_MO,WEST CENTRAL PLAINS,MO,1.400995939
WEST CENTRAL_AR,WEST CENTRAL,AR,1.782637739
WEST CENTRAL_GA,WEST CENTRAL,GA,0.717731768
WEST CENTRAL_IA,WEST CENTRAL,IA,1.327832219
WEST CENTRAL_IN,WEST CENTRAL,IN,2.000547116
WEST CENTRAL_KS,WEST CENTRAL,KS,0.920194089
WEST CENTRAL_LA,WEST CENTRAL,LA,1.561587212
WEST CENTRAL_MN,WEST CENTRAL,MN,1.043305085
WEST CENTRAL_ND,WEST CENTRAL,ND,0.690298041
WEST CENTRAL_OH,WEST CENTRAL,OH,1.366225193
WEST CENTRAL_OK,WEST CENTRAL,OK,0.613765125
WEST CENTRAL_SC,WEST CENTRAL,SC,0.290720276
WEST CENTRAL_WI,WEST CENTRAL,WI,1.329582981
WEST OLYMPIC COAST_WA,WEST OLYMPIC COAST,WA,-0.049877727
WEST OZARKS_MO,WEST OZARKS,MO,1.377287287
WEST SOUTHWEST_IL,WEST SOUTHWEST,IL,1.519132742
WEST UPPER_MI,WEST UPPER,MI,1.157575873
WEST_IL,WEST,IL,1.746181426
WESTERN PIEDMONT_VA,WESTERN PIEDMONT,VA,1.355728243
WESTERN PLATEAU_NY,WESTERN PLATEAU,NY,1.644049383
WESTERN_KY,WESTERN,KY,1.890582314
WESTERN_MA,WESTERN,MA,1.909491012
WESTERN_MT,WESTERN,MT,-0.129822741
WESTERN_TN,WESTERN,TN,1.793200642
WESTERN_UT,WESTERN,UT,-0.947682965
WESTERN_VT,WESTERN,VT,2.072794642
WILLAMETTE VALLEY_OR,WILLAMETTE VALLEY,OR,-0.117552807
WIND RIVER_WY,WIND RIVER,WY,-0.124417659
YELLOWSTONE DRAINAGE_WY,YELLOWSTONE DRAINAGE,WY,1.348018679
